audit,channel,test_split,test_index,memory_pool_size,max_instruction_similarity,nearest_instruction_memory_index,min_plan_edit_distance,nearest_edit_memory_index,max_plan_trigram_jaccard,nearest_ngram_memory_index,full_signature_overlap,published_routed_skill
strict_split,episode_heldout,test,370,283,1.0,1453,0,11,1.0,11,True,
strict_split,episode_heldout,test,396,283,0.9999998807907104,160,0,160,1.0,160,True,
strict_split,episode_heldout,test,482,283,0.9999997019767761,181,0,84,1.0,84,True,
strict_split,episode_heldout,test,633,283,0.9999997615814209,11,0,11,1.0,11,True,
strict_split,episode_heldout,test,658,283,0.9999998807907104,1407,0,160,1.0,160,True,
strict_split,episode_heldout,test,721,283,0.9999998807907104,1340,0,153,1.0,153,True,
strict_split,episode_heldout,test,722,283,0.9999999403953552,1191,0,160,1.0,160,True,
strict_split,episode_heldout,test,994,283,0.9999998807907104,241,0,3,1.0,3,True,
strict_split,episode_heldout,test,1062,283,0.9999998807907104,84,0,84,1.0,84,True,
strict_split,episode_heldout,test,1071,283,0.9999998807907104,160,0,160,1.0,160,True,
strict_split,episode_heldout,test,1222,283,0.9999998807907104,1340,0,153,1.0,153,True,
strict_split,episode_heldout,test,1318,283,0.9999998807907104,493,0,11,1.0,11,True,
strict_split,episode_heldout,test,1438,283,0.9999998807907104,846,0,84,1.0,84,True,
strict_split,episode_heldout,test,1480,283,0.9999999403953552,3,0,3,1.0,3,True,
strict_split,episode_heldout,test,1608,283,1.0,1453,0,11,1.0,11,True,
strict_split,episode_heldout,test,1619,283,0.9999998807907104,3025,0,11,1.0,11,True,
strict_split,episode_heldout,test,1625,283,0.9999998807907104,3025,0,11,1.0,11,True,
strict_split,episode_heldout,test,1653,283,0.9999998211860657,1145,0,3,1.0,3,True,
strict_split,episode_heldout,test,1789,283,0.9999998211860657,1145,0,3,1.0,3,True,
strict_split,episode_heldout,test,164,400,0.9999998211860657,538,0,60,1.0,60,True,
strict_split,episode_heldout,test,230,400,0.9556992650032043,3783,0,131,1.0,131,True,
strict_split,episode_heldout,test,253,400,0.9594326615333557,4804,0,60,1.0,60,True,
strict_split,episode_heldout,test,279,400,0.9999998807907104,7022,0,2803,1.0,2803,True,
strict_split,episode_heldout,test,395,400,0.9293725490570068,2281,0,485,1.0,485,True,
strict_split,episode_heldout,test,472,400,0.9999999403953552,4699,0,1644,1.0,1644,True,
strict_split,episode_heldout,test,503,400,0.9999997615814209,632,0,3018,1.0,3018,True,
strict_split,episode_heldout,test,576,400,0.9999999403953552,1954,0,32,1.0,32,True,
strict_split,episode_heldout,test,635,400,0.9999997615814209,5834,0,557,1.0,557,True,
strict_split,episode_heldout,test,751,400,0.9999996423721313,6401,0,1644,1.0,1644,True,
strict_split,episode_heldout,test,769,400,0.9999998807907104,470,0,1756,1.0,1756,True,
strict_split,episode_heldout,test,807,400,0.9999998807907104,3943,0,234,1.0,234,True,
strict_split,episode_heldout,test,862,400,0.9999998807907104,2168,0,1293,1.0,1293,True,
strict_split,episode_heldout,test,995,400,0.9999998807907104,4259,0,47,1.0,47,True,
strict_split,episode_heldout,test,1539,400,0.9999998807907104,4348,0,1644,1.0,1644,True,
strict_split,episode_heldout,test,1689,400,1.0,847,0,2803,1.0,2803,True,
strict_split,episode_heldout,test,1763,400,1.0,847,0,2803,1.0,2803,True,
strict_split,episode_heldout,test,42,184,0.9999998807907104,3563,0,1920,1.0,1920,True,
strict_split,episode_heldout,test,122,184,0.9999998807907104,526,0,1376,1.0,1376,True,
strict_split,episode_heldout,test,228,184,0.9999997615814209,691,0,323,1.0,323,True,
strict_split,episode_heldout,test,692,184,0.9999997615814209,2017,0,2435,1.0,2435,True,
strict_split,episode_heldout,test,1467,184,0.9999999403953552,2021,0,5,1.0,5,True,
strict_split,episode_heldout,test,1569,184,0.9999998807907104,4669,0,798,1.0,798,True,
strict_split,episode_heldout,test,1634,184,0.9999999403953552,107,0,4009,1.0,4009,True,
strict_split,episode_heldout,test,1740,184,0.9999999403953552,1680,0,543,1.0,543,True,
strict_split,episode_heldout,test,52,801,1.0000001192092896,4514,0,149,1.0,149,True,
strict_split,episode_heldout,test,61,801,0.9999998807907104,1080,0,45,1.0,45,True,
